instance_name,region,size,total_depots,total_orders,total_possible_score,total_score_achieved,score_ratio,orders_completed,orders_failed,completion_rate,total_distance_km,total_flight_time_hours,total_idle_time_hours,drone_utilization,average_delivery_time,average_assignment_time_ms,cross_depot_operations,gnn_cross_depot_decisions,future_planning_accuracy,emergency_completed,high_completed,medium_completed,low_completed,emergency_completion_rate,high_completion_rate,medium_completion_rate,low_completion_rate,model_used,gnn_predictions_made
north_carolina_medium_3,north_carolina,medium,10,200,744,301,0.404569892,111,28,0.555,675.5472384,5.996666233,77.64166667,0.071697582,4.664304094,0.151602335,103,151,0,1,13,49,48,0.076923077,0.448275862,0.521276596,0.75,Enhanced_Heuristic,0
north_carolina_medium_4,north_carolina,medium,10,200,676,269,0.397928994,87,33,0.435,563.8351649,5.005025706,81.45,0.057891669,5.251247643,0.278851229,82,150,0,3,12,34,38,0.6,0.342857143,0.346938776,0.612903226,Enhanced_Heuristic,0
north_carolina_small_0,north_carolina,small,5,100,332,242,0.728915663,78,8,0.78,258.9751108,2.29885819,26.75833333,0.079114948,2.887521135,0.13400679,78,92,0,3,11,28,36,1,0.55,0.8,0.857142857,Enhanced_Heuristic,0
north_carolina_small_1,north_carolina,small,5,100,384,188,0.489583333,56,29,0.56,218.9059123,1.943173797,31.43333333,0.058219807,3.801077392,0.138400306,47,60,0,2,9,25,20,0.333333333,0.5625,0.480769231,0.769230769,Enhanced_Heuristic,0
north_carolina_small_2,north_carolina,small,5,100,390,318,0.815384615,88,1,0.88,280.6798541,2.491525844,26.43333333,0.086137873,2.835718052,0.080542131,80,88,0,5,13,41,29,0.714285714,0.8125,0.854166667,1,Enhanced_Heuristic,0
north_carolina_small_3,north_carolina,small,5,100,426,267,0.626760563,77,8,0.77,254.1865884,2.256351658,27.83333333,0.074987547,3.049338556,0.101773635,71,82,0,5,10,30,32,0.454545455,0.666666667,0.731707317,0.96969697,Enhanced_Heuristic,0
north_carolina_small_4,north_carolina,small,5,100,312,224,0.717948718,78,11,0.78,292.4721523,2.596203166,26.975,0.087794979,3.506990834,0.148572279,71,81,0,1,8,42,27,0.5,0.615384615,0.79245283,0.84375,Enhanced_Heuristic,0
texas_large_0,texas,large,15,400,1480,423,0.285810811,149,17,0.3725,1320.501753,11.7217684,136.925,0.07885653,6.509475002,0.333070133,134,353,0,6,15,50,78,0.206896552,0.3,0.267379679,0.582089552,Enhanced_Heuristic,0
texas_large_1,texas,large,15,400,1382,393,0.284370478,131,43,0.3275,1220.035487,10.82995414,143.0333333,0.070386863,6.617687843,0.255681553,124,336,0,2,22,51,56,0.166666667,0.323529412,0.251231527,0.478632479,Enhanced_Heuristic,0
texas_large_2,texas,large,15,400,1450,434,0.299310345,146,7,0.365,1321.717605,11.73256122,137.5,0.078619312,7.239368486,0.264881221,138,366,0,7,14,53,72,0.388888889,0.191780822,0.294444444,0.558139535,Enhanced_Heuristic,0
